# Written by the BoltzWann module of the Wannier90 code.
# [K coefficient in SI units, i.e. in W/m/K]
# [the K coefficient is defined in the documentation, and is an ingredient of
#  the thermal conductivity. See the docs for further information.]
# Mu(eV) Temp(K) Kappa_xx Kappa_xy Kappa_yy Kappa_xz Kappa_yz Kappa_zz
   5.110000000       500.0000000      0.1311002919     -0.2538812774E-04  0.1310038357     -0.1665158946E-03 -0.3888375560E-04  0.1307346659    
   5.110000000       700.0000000      0.9896027702     -0.2723348108E-03  0.9861013151     -0.1099562983E-02 -0.2821163773E-03  0.9860369601    
   5.120000000       300.0000000      0.2145474121E-02 -0.2335907518E-06  0.2150842973E-02 -0.2363091371E-05 -0.3936042235E-06  0.2139309099E-02
   5.120000000       500.0000000      0.1565426158     -0.3052136668E-04  0.1564205763     -0.1988536437E-03 -0.4655231506E-04  0.1561051659    
   5.120000000       700.0000000       1.111570517     -0.3077383721E-03   1.107573248     -0.1231076149E-02 -0.3165175777E-03   1.107546335    
   5.130000000       300.0000000      0.2960762021E-02 -0.3230720923E-06  0.2968082281E-02 -0.3274697165E-05 -0.5485923508E-06  0.2952281713E-02
   5.130000000       500.0000000      0.1866389078     -0.3665059196E-04  0.1864847165     -0.2371076882E-03 -0.5565545973E-04  0.1861162404    
   5.130000000       700.0000000       1.246991499     -0.3474088350E-03   1.242431068     -0.1376274174E-02 -0.3546299170E-03   1.242454598    
   5.140000000       300.0000000      0.4077178956E-02 -0.4459572378E-06  0.4087129065E-02 -0.4529491961E-05 -0.7634253738E-06  0.4065541283E-02
   5.140000000       500.0000000      0.2221641394     -0.4395796197E-04  0.2219695967     -0.2822618652E-03 -0.6644055947E-04  0.2215405529    
   5.140000000       700.0000000       1.397046163     -0.3917972061E-03   1.391846636     -0.1536174454E-02 -0.3967581689E-03   1.391936607    
   5.150000000       300.0000000      0.5601831144E-02 -0.6143042757E-06  0.5615310526E-02 -0.6252651351E-05 -0.1060647132E-05  0.5585900798E-02
   5.150000000       500.0000000      0.2640011383     -0.5265597013E-04  0.2637560230     -0.3354359761E-03 -0.7919179753E-04  0.2632582761    
   5.150000000       700.0000000       1.562956781     -0.4413897859E-03   1.557032660     -0.1711780908E-02 -0.4432114978E-03   1.557208626    
   5.160000000       300.0000000      0.7677955539E-02 -0.8443292781E-06  0.7696149237E-02 -0.8613088442E-05 -0.1471024257E-05  0.7656208117E-02
   5.160000000       500.0000000      0.3131493599     -0.6299167390E-04  0.3128409507     -0.3978962830E-03 -0.9423392723E-04  0.3122658267    
   5.160000000       700.0000000       1.745974308     -0.4967083124E-03   1.739229468     -0.1904058130E-02 -0.4942978920E-03   1.739515196    
