# Written by the BoltzWann module of the Wannier90 code.
# [Electrical conductivity in SI units, i.e. in 1/Ohm/m]
# Mu(eV) Temp(K) ElCond_xx ElCond_xy ElCond_yy ElCond_xz ElCond_yz ElCond_zz
   5.000000000       300.0000000      0.6405258245E-01 -0.6581585398E-05  0.6427170096E-01 -0.6147303944E-04 -0.8289454526E-05  0.6385034769E-01
   5.000000000       500.0000000       38.19614827     -0.5755834124E-02   38.22414096     -0.4757005881E-01 -0.1005444239E-01   38.09429388    
   5.000000000       700.0000000       685.4667948     -0.1462432133       684.5084626     -0.8398948464     -0.1993805633       683.4015421    
   5.010000000       300.0000000      0.9430376024E-01 -0.9689980641E-05  0.9462636542E-01 -0.9050594321E-04 -0.1220445532E-04  0.9400601273E-01
   5.010000000       500.0000000       48.17329575     -0.7259355225E-02   48.20859673     -0.5999618320E-01 -0.1268092663E-01   48.04483695    
   5.010000000       700.0000000       808.9365968     -0.1725985505       807.8051330     -0.9911993512     -0.2353085140       806.4993273    
   5.020000000       300.0000000      0.1388421560     -0.1426643009E-04  0.1393171231     -0.1332506983E-03 -0.1796845791E-04  0.1384037863    
   5.020000000       500.0000000       60.75623952     -0.9155590194E-02   60.80075539     -0.7566797565E-01 -0.1599349388E-01   60.59422832    
   5.020000000       700.0000000       954.6192496     -0.2037005550       953.2833062      -1.169731480     -0.2777057718       951.7430305    
   5.030000000       300.0000000      0.2044154177     -0.2100427393E-04  0.2051147050     -0.1961832274E-03 -0.2645472059E-04  0.2037700122    
   5.030000000       500.0000000       76.62536537     -0.1154709592E-01   76.68149928     -0.9543304706E-01 -0.2017134695E-01   76.42103990    
   5.030000000       700.0000000       1126.500311     -0.2404029460       1124.922836      -1.380379366     -0.3277353233       1123.106198    
   5.040000000       300.0000000      0.3009579995     -0.3092431391E-04  0.3019875498     -0.2888379402E-03 -0.3894893400E-04  0.3000077780    
   5.040000000       500.0000000       96.63860067     -0.1456320103E-01   96.70938116     -0.1203602755     -0.2544048760E-01   96.38091205    
   5.040000000       700.0000000       1329.276281     -0.2837125325       1327.413472      -1.628904170     -0.3867684789       1325.271175    
   5.050000000       300.0000000      0.4430962249     -0.4552944910E-04  0.4446120158     -0.4252522048E-03 -0.5734399498E-04  0.4416972275    
   5.050000000       500.0000000       121.8776774     -0.1836698805E-01   121.9669204     -0.1517975158     -0.3208593336E-01   121.5526934    
   5.050000000       700.0000000       1568.479794     -0.3348164870       1566.279851      -1.922094235     -0.4564218965       1563.753919    
   5.060000000       300.0000000      0.6523641467     -0.6703238700E-04  0.6545958202     -0.6260930333E-03 -0.8442679071E-04  0.6503044239    
   5.060000000       500.0000000       153.7064119     -0.2316409268E-01   153.8189238     -0.1914443306     -0.4046712048E-01   153.2965652    
   5.060000000       700.0000000       1850.626208     -0.3951144084       1848.027854      -2.267945751     -0.5386010700       1845.050149    
   5.070000000       300.0000000      0.9604658701     -0.9869085697E-04  0.9637515219     -0.9217881270E-03 -0.1243004155E-03  0.9574333729    
   5.070000000       500.0000000       193.8440990     -0.2921379099E-01   193.9859326     -0.2414436327     -0.5103732256E-01   193.3272409    
   5.070000000       700.0000000       2183.385028     -0.4662559891       2180.315750      -2.675874241     -0.6355513645       2176.806249    
   5.080000000       300.0000000       1.414078505     -0.1453011515E-03   1.418915902     -0.1357135661E-02 -0.1830057898E-03   1.409613812    
   5.080000000       500.0000000       244.4579068     -0.3684296567E-01   244.6366804     -0.3044971313     -0.6436812894E-01   243.8061143    
