# Written by the BoltzWann module of the Wannier90 code.
# [Seebeck coefficient in SI units, i.e. in V/K]
# Mu(eV) Temp(K) Seebeck_xx Seebeck_xy Seebeck_xz Seebeck_yx Seebeck_yy Seebeck_yz Seebeck_zx Seebeck_zy Seebeck_zz
   5.030000000       500.0000000     -0.8797289113E-03  0.1408197164E-07  0.1630286015E-07  0.1398373051E-07 -0.8792343580E-03  0.1407718184E-07  0.1632793993E-07  0.1426657656E-07 -0.8797128374E-03
   5.030000000       700.0000000     -0.6798024260E-03  0.1706300708E-07 -0.2427446262E-07  0.1695489695E-07 -0.6792227395E-03  0.6697268264E-09 -0.2452341941E-07  0.8233052648E-09 -0.6796556472E-03
   5.040000000       300.0000000     -0.1295194001E-02  0.2616697715E-08  0.7370899035E-07  0.2542739703E-08 -0.1294719328E-02  0.2691374916E-07  0.7408207129E-07  0.2716705834E-07 -0.1295341560E-02
   5.040000000       500.0000000     -0.8597330781E-03  0.1408227467E-07  0.1629998761E-07  0.1398403549E-07 -0.8592385321E-03  0.1407648135E-07  0.1632505007E-07  0.1426587189E-07 -0.8597169969E-03
   5.040000000       700.0000000     -0.6655413938E-03  0.1706414145E-07 -0.2429217240E-07  0.1695603731E-07 -0.6649617119E-03  0.6637377649E-09 -0.2454124982E-07  0.8173087638E-09 -0.6653945637E-03
   5.050000000       300.0000000     -0.1261860734E-02  0.2616682506E-08  0.7370896173E-07  0.2542724553E-08 -0.1261386062E-02  0.2691376625E-07  0.7408204254E-07  0.2716707539E-07 -0.1262008292E-02
   5.050000000       500.0000000     -0.8397383328E-03  0.1408265690E-07  0.1629636502E-07  0.1398442018E-07 -0.8392437960E-03  0.1407559783E-07  0.1632140564E-07  0.1426498310E-07 -0.8397222424E-03
   5.050000000       700.0000000     -0.6512847949E-03  0.1706547922E-07 -0.2431305949E-07  0.1695738212E-07 -0.6507051183E-03  0.6566725228E-09 -0.2456227918E-07  0.8102347615E-09 -0.6511379042E-03
   5.060000000       300.0000000     -0.1228527497E-02  0.2616665827E-08  0.7370893335E-07  0.2542707945E-08 -0.1228052825E-02  0.2691378578E-07  0.7408201402E-07  0.2716709484E-07 -0.1228675055E-02
   5.060000000       500.0000000     -0.8197449594E-03  0.1408313904E-07  0.1629179663E-07  0.1398490541E-07 -0.8192504342E-03  0.1407448347E-07  0.1631680971E-07  0.1426386210E-07 -0.8197288575E-03
