# Written by the BoltzWann module of the Wannier90 code.
# [(Electrical conductivity * Seebeck coefficient) in SI units, i.e. in Ampere/m/K]
# Mu(eV) Temp(K) (Sigma*S)_xx (Sigma*S)_xy (Sigma*S)_yy (Sigma*S)_xz (Sigma*S)_yz (Sigma*S)_zz
   5.090000000       300.0000000      0.2349509114E-02 -0.2467117649E-06  0.2356554728E-02 -0.2408647068E-05 -0.3603154949E-06  0.2342397221E-02
   5.090000000       500.0000000      0.2342234430     -0.3961586220E-04  0.2342420680     -0.2967712859E-03 -0.6601723620E-04  0.2335939954    
   5.090000000       700.0000000       1.805797534     -0.4373264175E-03   1.801492519     -0.2138584563E-02 -0.5276104404E-03   1.799910152    
   5.100000000       300.0000000      0.3356965696E-02 -0.3527312451E-06  0.3366989231E-02 -0.3448156171E-05 -0.5172645852E-06  0.3346817596E-02
   5.100000000       500.0000000      0.2875944236     -0.4878882877E-04  0.2876120695     -0.3645771589E-03 -0.8121167317E-04  0.2868214095    
   5.100000000       700.0000000       2.078956499     -0.5050947235E-03   2.073944897     -0.2460005042E-02 -0.6075757811E-03   2.072165309    
   5.110000000       300.0000000      0.4791962596E-02 -0.5038633152E-06  0.4806205297E-02 -0.4932295238E-05 -0.7420934285E-06  0.4777496743E-02
   5.110000000       500.0000000      0.3528563856     -0.6004990593E-04  0.3528712328     -0.4475484164E-03 -0.9983853251E-04  0.3519077831    
   5.110000000       700.0000000       2.391749244     -0.5830639497E-03   2.385915911     -0.2827612758E-02 -0.6991882387E-03   2.383920163    
   5.120000000       300.0000000      0.6833617256E-02 -0.7190715627E-06  0.6853828509E-02 -0.7049179691E-05 -0.1063911077E-05  0.6813018863E-02
   5.120000000       500.0000000      0.4325748445     -0.7386357201E-04  0.4325841710     -0.5489767649E-03 -0.1226537109E-03  0.4314117148    
   5.120000000       700.0000000       2.749535196     -0.6727031219E-03   2.742746353     -0.3247549876E-02 -0.8040358466E-03   2.740515312    
   5.130000000       300.0000000      0.9734863437E-02 -0.1025169054E-05  0.9763503810E-02 -0.1006543395E-04 -0.1524181217E-05  0.9705566683E-02
   5.130000000       500.0000000      0.5298417244     -0.9079422511E-04  0.5298415491     -0.6728364841E-03 -0.1505735209E-03  0.5284167916    
   5.130000000       700.0000000       3.158302069     -0.7756773909E-03   3.150402303     -0.3726651803E-02 -0.9238965942E-03   3.147917249    
   5.140000000       300.0000000      0.1385221427E-01 -0.1460002330E-05  0.1389273692E-01 -0.1435838564E-04 -0.2181899020E-05  0.1381059776E-01
   5.140000000       500.0000000      0.6483740693     -0.1115265630E-03  0.6483586666     -0.8239152399E-03 -0.1847067715E-03  0.6466300336    
   5.140000000       700.0000000       3.624713884     -0.8938704291E-03   3.615522676     -0.4272491634E-02 -0.1060754029E-02   3.612766144    
   5.150000000       300.0000000      0.1968716426E-01 -0.2076891474E-05  0.1974440338E-01 -0.2046115433E-04 -0.3120901994E-05  0.1962812646E-01
   5.150000000       500.0000000      0.7926278185     -0.1368897310E-03  0.7925890586     -0.1007966084E-02 -0.2263925875E-03  0.7904953636    
   5.150000000       700.0000000       4.156154980     -0.1029408388E-02   4.145462674     -0.4893416608E-02 -0.1216811938E-02   4.142419607    
   5.160000000       300.0000000      0.2794357566E-01 -0.2950802014E-05  0.2802428010E-01 -0.2912562980E-04 -0.4460175955E-05  0.2785994481E-01
   5.160000000       500.0000000      0.9679275237     -0.1678857888E-03  0.9678539793     -0.1231882507E-02 -0.2772447350E-03  0.9653229748    
   5.160000000       700.0000000       4.760766942     -0.1184685230E-02   4.748330088     -0.5598572019E-02 -0.1394507190E-02   4.744989368    
