Atom,PeudoPotential,nwan,orbitals
H,pbe-rrkj_psl.0.1,0,s
He,pbe-rrkj_psl.0.2.3,1,s
Li,pbe-s-rrkj_psl.0.2.1,1,s
Be,pbe-n-rrkj_psl.0.2,0,sp
B,pbe-n-rrkj_psl.0.1,0,sp
C,pbe-n-rrkj_psl.0.1,0,sp
N,pbe-n-rrkj_psl.0.1,1,p
O,pbe-n-rrkj_psl.0.1,1,p
F,pbe-n-rrkj_psl.0.1,1,p
Ne,pbe-n-rrkj_psl.1.0.0,1,p
Na,pbe-spn-rrkj_psl.0.2,4,s
Mg,pbe-n-rrkj_psl.0.3.0,0,s
Al,pbe-n-rrkj_psl.0.2.2,0,sp
Si,pbe-n-rrkj_psl.0.1,0,sp
P,pbe-n-rrkj_psl.0.1,1,p
S,pbe-n-rrkj_psl.0.1,1,p
Cl,pbe-n-rrkj_psl.0.3.0,1,p
Ar,pbe-n-rrkj_psl.0.3.0,1,p
K,pbe-spn-rrkj_psl.0.2.3,4,
Ca,pbe-spn-rrkj_psl.0.2.3,4,s
Sc,pbe-spn-rrkj_psl.0.2.3,4,sd
Ti,pbe-spn-rrkj_psl.0.3.1,4,spd
V,pbe-spn-rrkj_psl.0.2.3,4,sd
Cr,pbe-spn-rrkj_psl.1.0.0,4,spd
Mn,pbe-spn-rrkj_psl.0.3.1,4,spd
Fe,pbe-spn-rrkj_psl.0.2.1,4,spd
Co,pbe-n-rrkj_psl.0.2.3,0,spd
Ni,pbe-n-rrkj_psl.0.1,0,spd
Cu,pbe-dn-rrkj_psl.0.2,0,spd
Zn,pbe-dn-rrkj_psl.0.2.2,0,spd
Ga,pbe-dn-rrkj_psl.0.2,5,sp
Ge,pbe-dn-rrkj_psl.0.3.1,5,sp
As,pbe-n-rrkj_psl.0.2,1,p
Se,pbe-n-rrkj_psl.0.2,1,p
Br,pbe-n-rrkj_psl.0.2,1,p
Kr,pbe-n-rrkj_psl.0.2.3,1,p
Rb,pbe-spn-rrkj_psl.0.2.3,4,s
Sr,pbe-spn-rrkj_psl.0.2.3,4,s
Y,pbe-spn-rrkj_psl.0.2.3,4,spd
Zr,pbe-spn-rrkj_psl.0.2.3,4,spd
Nb,pbe-spn-rrkj_psl.0.3.0,4,sd
Mo,pbe-spn-rrkj_psl.0.3.0,4,spd
Tc,pbe-spn-rrkj_psl.0.3.0,4,spd
Ru,pbe-spn-rrkj_psl.0.3.0,4,spd
Rh,pbe-spn-rrkj_psl.0.3.0,4,spd
Pd,pbe-n-rrkj_psl.0.3.0,0,sd
Ag,pbe-dn-rrkj_psl.0.1,0,sd
Cd,pbe-dn-rrkj_psl.0.3.1,5,sp
In,pbe-dn-rrkj_psl.0.2.2,5,sp
Sn,pbe-dn-rrkj_psl.0.2,5,sp
Sb,pbe-n-rrkj_psl.0.3.1,0,sp
Te,pbe-dn-rrkj_psl.0.3.1,6,p
I,pbe-n-rrkj_psl.0.2,1,p
Xe,pbe-n-rrkj_psl.0.3.1,6,p
Cs,pbe-spn-rrkj_psl.0.2.3,1,sp
Ba,pbe-spn-rrkj_psl.0.2.3,4,s
La,pbe-spfn-rrkj_psl.1.0.0,4,
Ce,pbe-spdn-rrkj_psl.1.0.0,4,spd
Pr,pbe-spdn-rrkj_psl.1.0.0,4,spd
Nd,pbe-spdn-rrkj_psl.1.0.0,4,spd
Pm,pbe-spdn-rrkj_psl.1.0.0,4,spd
Sm,pbe-spdn-rrkj_psl.1.0.0,4,spd
Eu,pbe-spdn-rrkj_psl.1.0.0,4,spd
Gd,pbe-spdn-rrkj_psl.1.0.0,4,spd
Tb,pbe-spdn-rrkj_psl.1.0.0,4,spd
Dy,pbe-spdn-rrkj_psl.1.0.0,4,spd
Ho,pbe-spdn-rrkj_psl.1.0.0,4,spd
Er,pbe-spdn-rrkj_psl.1.0.0,4,spd
Tm,pbe-spdn-rrkj_psl.1.0.0,4,spd
Yb,pbe-spdn-rrkj_psl.1.0.0,4,spd
Lu,pbe-spdn-rrkj_psl.1.0.0,4,spd
Hf,pbe-spn-rrkj_psl.0.2,4,spd
Ta,pbe-spn-rrkj_psl.0.2,4,spd
W,pbe-spn-rrkj_psl.0.2.3,4,spd
Re,pbe-spn-rrkj_psl.0.3.1,4,spd
Os,pbe-n-rrkj_psl.0.2.3,0,spd
Ir,pbe-n-rrkj_psl.0.2.3,0,spd
Pt,pbe-n-rrkj_psl.0.1,0,spd
Au,pbe-dn-rrkj_psl.0.3.0,0,spd
Hg,pbe-dn-rrkj_psl.0.2.2,0,spd
Tl,pbe-dn-rrkj_psl.0.2.3,5,sp
Pb,pbe-dn-rrkj_psl.0.2.2,5,sp
Bi,pbe-dn-rrkj_psl.0.2.2,6,p
Po,pbe-dn-rrkj_psl.0.3.1,6,p
At,pbe-dn-rrkj_psl.0.3.1,6,p
Rn,pbe-dn-rrkj_psl.0.3.1,6,p
Fr,,,
Ra,,,
Ac,,,
Th,,,
Pa,,,
U,,,
Np,,,
Pu,,,
Am,,,
Cm,,,
Bk,,,
Cf,,,
Es,,,
Fm,,,
Md,,,
No,,,
Lr,,,
Rf,,,
Db,,,
Sg,,,
Bh,,,
Hs,,,
Mt,,,
