Atom,PeudoPotential,nwan,orbitals
H,pbesol-kjpaw_psl.1.0.0,0,s
He,pbesol-kjpaw_psl.1.0.0,1,
Li,pbesol-s-kjpaw_psl.1.0.0,1,s
Be,pbesol-n-kjpaw_psl.1.0.0,0,sp
B,pbesol-n-kjpaw_psl.1.0.0,0,sp
C,pbesol-n-kjpaw_psl.1.0.0,0,sp
N,pbesol-n-kjpaw_psl.1.0.0,1,p
O,pbesol-n-kjpaw_psl.1.0.0,1,p
F,pbesol-n-kjpaw_psl.1.0.0,1,p
Ne,pbesol-n-kjpaw_psl.1.0.0,1,p
Na,pbesol-spn-kjpaw_psl.1.0.0,4,s
Mg,pbesol-n-kjpaw_psl.1.0.0,0,s
Al,pbesol-n-kjpaw_psl.1.0.0,0,sp
Si,pbesol-n-kjpaw_psl.1.0.0,0,sp
P,pbesol-n-kjpaw_psl.1.0.0,1,p
S,pbesol-n-kjpaw_psl.1.0.0,1,p
Cl,pbesol-n-kjpaw_psl.1.0.0,1,p
Ar,pbesol-n-kjpaw_psl.1.0.0,1,p
K,pbesol-spn-kjpaw_psl.1.0.0,4,
Ca,pbesol-spn-kjpaw_psl.1.0.0,4,s
Sc,pbesol-spn-kjpaw_psl.1.0.0,4,sd
Ti,pbesol-spn-kjpaw_psl.1.0.0,4,spd
V,pbesol-spn-kjpaw_psl.1.0.0,4,spd
Cr,pbesol-spn-kjpaw_psl.1.0.0,4,spd
Mn,pbesol-spn-kjpaw_psl.1.0.0,4,spd
Fe,pbesol-spn-kjpaw_psl.1.0.0,4,spd
Co,pbesol-n-kjpaw_psl.1.0.0,0,spd
Ni,pbesol-n-kjpaw_psl.1.0.0,0,spd
Cu,pbesol-dn-kjpaw_psl.1.0.0,0,spd
Zn,pbesol-dn-kjpaw_psl.1.0.0,0,spd
Ga,pbesol-dn-kjpaw_psl.1.0.0,5,sp
Ge,pbesol-dn-kjpaw_psl.1.0.0,5,sp
As,pbesol-n-kjpaw_psl.1.0.0,1,p
Se,pbesol-n-kjpaw_psl.1.0.0,1,p
Br,pbesol-n-kjpaw_psl.1.0.0,1,p
Kr,pbesol-n-kjpaw_psl.1.0.0,1,p
Rb,pbesol-spn-kjpaw_psl.1.0.0,4,s
Sr,pbesol-spn-kjpaw_psl.1.0.0,4,s
Y,pbesol-spn-kjpaw_psl.1.0.0,4,spd
Zr,pbesol-spn-kjpaw_psl.1.0.0,4,spd
