Atom,PeudoPotential,nexc,orbitals
Nd,pbesol-spdn-rrkjus_psl.1.0.0,4,spd
Pm,pbesol-spdn-rrkjus_psl.1.0.0,4,spd
Sm,pbesol-spdn-rrkjus_psl.1.0.0,4,spd
Eu,pbesol-spdn-rrkjus_psl.1.0.0,4,spd
Gd,pbesol-spdn-rrkjus_psl.1.0.0,4,spd
Tb,pbesol-spdn-rrkjus_psl.1.0.0,4,spd
Dy,pbesol-spdn-rrkjus_psl.1.0.0,4,spd
Ho,pbesol-spdn-rrkjus_psl.1.0.0,4,spd
Er,pbesol-spdn-rrkjus_psl.1.0.0,4,spd
Tm,pbesol-spdn-rrkjus_psl.1.0.0,4,spd
Yb,pbesol-spdn-rrkjus_psl.1.0.0,4,spd
Lu,pbesol-spdn-rrkjus_psl.1.0.0,4,spd
Hf,pbesol-spn-rrkjus_psl.1.0.0,4,spd
Ta,pbesol-spn-rrkjus_psl.1.0.0,4,spd
W,pbesol-spn-rrkjus_psl.1.0.0,4,spd
Re,pbesol-spn-rrkjus_psl.1.0.0,4,spd
Os,pbesol-n-rrkjus_psl.1.0.0,0,spd
Ir,pbesol-n-rrkjus_psl.1.0.0,0,spd
Pt,pbesol-n-rrkjus_psl.1.0.0,0,spd
Au,pbesol-dn-rrkjus_psl.1.0.0,0,spd
Hg,pbesol-dn-rrkjus_psl.1.0.0,0,spd
Tl,pbesol-dn-rrkjus_psl.1.0.0,5,sp
Pb,pbesol-dn-rrkjus_psl.1.0.0,5,sp
Bi,pbesol-dn-rrkjus_psl.1.0.0,6,p
Po,pbesol-dn-rrkjus_psl.1.0.0,6,p
At,pbesol-dn-rrkjus_psl.1.0.0,6,p
Rn,pbesol-dn-rrkjus_psl.1.0.0,6,p
Fr,pbesol-spdn-kjpaw_psl.1.0.0,4,sp
Ra,pbesol-spdn-kjpaw_psl.1.0.0,4,s
Ac,pbesol-spfn-kjpaw_psl.1.0.0,4,
Th,pbesol-spfn-kjpaw_psl.1.0.0,4,spd
Pa,pbesol-spfn-kjpaw_psl.1.0.0,4,spd
U,pbesol-spfn-kjpaw_psl.1.0.0,4,spd
Np,pbesol-spfn-kjpaw_psl.1.0.0,4,spd
Pu,pbesol-spfn-kjpaw_psl.1.0.0,4,spd
Am,pbesol-spfn-kjpaw_psl.1.0.0,4,spd
Cm,,,
Bk,,,
Cf,,,
Es,,,
Fm,,,
Md,,,
No,,,
Lr,,,
Rf,,,
Db,,,
Sg,,,
Bh,,,
Hs,,,
Mt,,,
