Atom,PeudoPotential,nexc,orbitals
H,pbesol-kjpaw_psl.1.0.0,0,s
He,pbesol-kjpaw_psl.1.0.0,1,s
Li,pbesol-s-kjpaw_psl.1.0.0,1,s
Be,pbesol-n-kjpaw_psl.1.0.0,0,sp
B,pbesol-n-kjpaw_psl.1.0.0,0,sp
C,pbesol-n-kjpaw_psl.1.0.0,0,sp
N,pbesol-n-kjpaw_psl.1.0.0,1,p
O,pbesol-n-kjpaw_psl.1.0.0,1,p
F,pbesol-n-kjpaw_psl.1.0.0,1,p
Ne,pbesol-n-kjpaw_psl.1.0.0,1,p
Na,pbesol-spn-kjpaw_psl.1.0.0,4,s
Mg,pbesol-spn-kjpaw_psl.1.0.0,4,sp
Al,pbesol-n-kjpaw_psl.1.0.0,0,sp
Si,pbesol-n-kjpaw_psl.1.0.0,0,sp
P,pbesol-n-kjpaw_psl.1.0.0,1,p
S,pbesol-n-kjpaw_psl.1.0.0,1,p
Cl,pbesol-n-kjpaw_psl.1.0.0,1,p
Ar,pbesol-n-kjpaw_psl.1.0.0,1,p
K,pbesol-spn-kjpaw_psl.1.0.0,4,
Ca,pbesol-spn-kjpaw_psl.1.0.0,4,s
Sc,pbesol-spn-kjpaw_psl.1.0.0,4,sd
Ti,pbesol-spn-kjpaw_psl.1.0.0,4,d
V,pbesol-spn-kjpaw_psl.1.0.0,4,d
Cr,pbesol-spn-kjpaw_psl.1.0.0,4,d
Mn,pbesol-spn-kjpaw_psl.1.0.0,4,d
Fe,pbesol-spn-kjpaw_psl.1.0.0,4,d
Co,pbesol-n-kjpaw_psl.1.0.0,0,d
Ni,pbesol-n-kjpaw_psl.1.0.0,0,sd
Cu,pbesol-dn-kjpaw_psl.1.0.0,0,spd
Zn,pbesol-dn-kjpaw_psl.1.0.0,0,d
Ga,pbesol-dn-kjpaw_psl.1.0.0,5,sp
Ge,pbesol-dn-kjpaw_psl.1.0.0,5,sp
As,pbesol-n-kjpaw_psl.1.0.0,1,p
Se,pbesol-n-kjpaw_psl.1.0.0,1,p
Br,pbesol-n-kjpaw_psl.1.0.0,1,p
Kr,pbesol-dn-kjpaw_psl.1.0.0,6,p
Rb,pbesol-spn-kjpaw_psl.1.0.0,4,s
Sr,pbesol-spn-kjpaw_psl.1.0.0,4,s
Y,pbesol-spn-kjpaw_psl.1.0.0,4,d
Zr,pbesol-spn-kjpaw_psl.1.0.0,4,d
Nb,pbesol-spn-kjpaw_psl.1.0.0,4,d
Mo,pbesol-spn-kjpaw_psl.1.0.0,4,d
Tc,pbesol-spn-kjpaw_psl.1.0.0,4,d
Ru,pbesol-spn-kjpaw_psl.1.0.0,4,d
Rh,pbesol-spn-kjpaw_psl.1.0.0,4,d
Pd,pbesol-n-kjpaw_psl.1.0.0,0,sd
Ag,pbesol-n-kjpaw_psl.1.0.0,0,sd
Cd,pbesol-n-kjpaw_psl.1.0.0,0,sp
In,pbesol-dn-kjpaw_psl.1.0.0,5,sp
Sn,pbesol-dn-kjpaw_psl.1.0.0,6,p
Sb,pbesol-n-kjpaw_psl.1.0.0,0,sp
Te,pbesol-dn-kjpaw_psl.1.0.0,6,p
I,pbesol-n-kjpaw_psl.1.0.0,1,p
Xe,pbesol-n-kjpaw_psl.1.0.0,6,p
Cs,pbesol-spn-kjpaw_psl.1.0.0,1,sp
Ba,pbesol-spn-kjpaw_psl.1.0.0,4,s
La,pbesol-spfn-kjpaw_psl.1.0.0,4,
Ce,pbesol-spdn-kjpaw_psl.1.0.0,4,d
Pr,pbesol-spdn-kjpaw_psl.1.0.0,4,d
Nd,pbesol-spdn-kjpaw_psl.1.0.0,4,d
Pm,pbesol-spdn-kjpaw_psl.1.0.0,4,d
Sm,pbesol-spdn-kjpaw_psl.1.0.0,4,d
Eu,pbesol-spdn-kjpaw_psl.1.0.0,4,d
Gd,pbesol-spdn-kjpaw_psl.1.0.0,4,d
Tb,pbesol-spdn-kjpaw_psl.1.0.0,4,d
Dy,pbesol-spdn-kjpaw_psl.1.0.0,4,d
Ho,pbesol-spdn-kjpaw_psl.1.0.0,4,d
Er,pbesol-spdn-kjpaw_psl.1.0.0,4,d
Tm,pbesol-spdn-kjpaw_psl.1.0.0,4,d
Yb,pbesol-spdn-kjpaw_psl.1.0.0,4,d
Lu,pbesol-spdn-kjpaw_psl.1.0.0,4,d
Hf,pbesol-spn-kjpaw_psl.1.0.0,4,d
Ta,pbesol-spn-kjpaw_psl.1.0.0,4,d
W,pbesol-spn-kjpaw_psl.1.0.0,4,d
Re,pbesol-spn-kjpaw_psl.1.0.0,4,d
Os,pbesol-spn-kjpaw_psl.1.0.0,4,d
Ir,pbesol-n-kjpaw_psl.1.0.0,0,d
Pt,pbesol-n-kjpaw_psl.1.0.0,0,sd
Au,pbesol-n-kjpaw_psl.1.0.0,0,sd
Hg,pbesol-n-kjpaw_psl.1.0.0,0,d
Tl,pbesol-dn-kjpaw_psl.1.0.0,5,sp
Pb,pbesol-dn-kjpaw_psl.1.0.0,5,sp
Bi,pbesol-dn-kjpaw_psl.1.0.0,6,p
Po,pbesol-dn-kjpaw_psl.1.0.0,6,p
At,pbesol-dn-kjpaw_psl.1.0.0,6,p
Rn,pbesol-dn-kjpaw_psl.1.0.0,6,p
Fr,pbesol-spdn-kjpaw_psl.1.0.0,4,sp
Ra,pbesol-spdn-kjpaw_psl.1.0.0,4,s
Ac,pbesol-spfn-kjpaw_psl.1.0.0,4,
Th,pbesol-spfn-kjpaw_psl.1.0.0,4,d
Pa,pbesol-spfn-kjpaw_psl.1.0.0,4,d
U,pbesol-spfn-kjpaw_psl.1.0.0,4,d
Np,pbesol-spfn-kjpaw_psl.1.0.0,4,d
Pu,pbesol-spfn-kjpaw_psl.1.0.0,4,d
Am,pbesol-spfn-kjpaw_psl.1.0.0,4,d
Cm,,,
Bk,,,
Cf,,,
Es,,,
Fm,,,
Md,,,
No,,,
Lr,,,
Rf,,,
Db,,,
Sg,,,
Bh,,,
Hs,,,
Mt,,,
