Atom,PeudoPotential,nexc,orbitals
H,pbe-kjpaw_psl.1.0.0,0,s
He,pbe-kjpaw_psl.1.0.0,1,s
Li,pbe-s-kjpaw_psl.1.0.0,1,s
Be,pbe-n-kjpaw_psl.1.0.0,0,sp
B,pbe-n-kjpaw_psl.1.0.0,0,sp
C,pbe-n-kjpaw_psl.1.0.0,0,sp
N,pbe-n-kjpaw_psl.1.0.0,1,p
O,pbe-n-kjpaw_psl.1.0.0,1,p
F,pbe-n-kjpaw_psl.1.0.0,1,p
Ne,pbe-n-kjpaw_psl.1.0.0,1,p
Na,pbe-spn-kjpaw_psl.1.0.0,4,s
Mg,pbe-spn-kjpaw_psl.1.0.0,4,s
Al,pbe-n-kjpaw_psl.1.0.0,0,sp
Si,pbe-n-kjpaw_psl.1.0.0,0,sp
P,pbe-n-kjpaw_psl.1.0.0,1,p
S,pbe-n-kjpaw_psl.1.0.0,1,p
Cl,pbe-n-kjpaw_psl.1.0.0,1,p
Ar,pbe-n-kjpaw_psl.1.0.0,1,p
K,pbe-spn-kjpaw_psl.1.0.0,4,
Ca,pbe-spn-kjpaw_psl.1.0.0,4,s
Sc,pbe-spn-kjpaw_psl.1.0.0,4,sd
Ti,pbe-spn-kjpaw_psl.1.0.0,4,d
V,pbe-spn-kjpaw_psl.1.0.0,4,d
Cr,pbe-spn-kjpaw_psl.1.0.0,4,d
Mn,pbe-spn-kjpaw_psl.1.0.0,4,d
Fe,pbe-spn-kjpaw_psl.1.0.0,4,d
Co,pbe-n-kjpaw_psl.1.0.0,0,d
Ni,pbe-n-kjpaw_psl.1.0.0,0,sd
Cu,pbe-dn-kjpaw_psl.1.0.0,0,spd
Zn,pbe-dn-kjpaw_psl.1.0.0,0,d
Ga,pbe-dn-kjpaw_psl.1.0.0,5,sp
Ge,pbe-dn-kjpaw_psl.1.0.0,5,sp
As,pbe-n-kjpaw_psl.1.0.0,0,sp
Se,pbe-n-kjpaw_psl.1.0.0,1,p
Br,pbe-n-kjpaw_psl.1.0.0,1,p
Kr,pbe-dn-kjpaw_psl.1.0.0,6,p
Rb,pbe-spn-kjpaw_psl.1.0.0,4,s
Sr,pbe-spn-kjpaw_psl.1.0.0,4,s
Y,pbe-spn-kjpaw_psl.1.0.0,4,d
Zr,pbe-spn-kjpaw_psl.1.0.0,4,d
Nb,pbe-spn-kjpaw_psl.1.0.0,4,d
Mo,pbe-spn-kjpaw_psl.1.0.0,4,d
Tc,pbe-spn-kjpaw_psl.1.0.0,4,d
Ru,pbe-spn-kjpaw_psl.1.0.0,4,d
Rh,pbe-spn-kjpaw_psl.1.0.0,4,d
Pd,pbe-n-kjpaw_psl.1.0.0,0,sd
Ag,pbe-n-kjpaw_psl.1.0.0,0,sd
Cd,pbe-n-kjpaw_psl.1.0.0,0,sp
In,pbe-dn-kjpaw_psl.1.0.0,5,sp
Sn,pbe-dn-kjpaw_psl.1.0.0,6,p
Sb,pbe-n-kjpaw_psl.1.0.0,0,sp
Te,pbe-dn-kjpaw_psl.1.0.0,6,p
I,pbe-n-kjpaw_psl.1.0.0,1,p
Xe,pbe-n-kjpaw_psl.1.0.0,6,p
Cs,pbe-spn-kjpaw_psl.1.0.0,1,sp
Ba,pbe-spn-kjpaw_psl.1.0.0,4,s
La,pbe-spfn-kjpaw_psl.1.0.0,4,
Ce,pbe-spdn-kjpaw_psl.1.0.0,4,d
Pr,pbe-spdn-kjpaw_psl.1.0.0,4,d
Nd,pbe-spdn-kjpaw_psl.1.0.0,4,d
Pm,pbe-spdn-kjpaw_psl.1.0.0,4,d
Sm,pbe-spdn-kjpaw_psl.1.0.0,4,d
Eu,pbe-spdn-kjpaw_psl.1.0.0,4,d
Gd,pbe-spdn-kjpaw_psl.1.0.0,4,d
Tb,pbe-spdn-kjpaw_psl.1.0.0,4,d
Dy,pbe-spdn-kjpaw_psl.1.0.0,4,d
Ho,pbe-spdn-kjpaw_psl.1.0.0,4,d
Er,pbe-spdn-kjpaw_psl.1.0.0,4,d
Tm,pbe-spdn-kjpaw_psl.1.0.0,4,d
Yb,pbe-spdn-kjpaw_psl.1.0.0,4,d
Lu,pbe-spdn-kjpaw_psl.1.0.0,4,d
Hf,pbe-spn-kjpaw_psl.1.0.0,4,d
Ta,pbe-spn-kjpaw_psl.1.0.0,4,d
W,pbe-spn-kjpaw_psl.1.0.0,4,d
Re,pbe-spn-kjpaw_psl.1.0.0,4,d
Os,pbe-spn-kjpaw_psl.1.0.0,4,d
Ir,pbe-n-kjpaw_psl.1.0.0,0,d
Pt,pbe-n-kjpaw_psl.1.0.0,0,sd
Au,pbe-n-kjpaw_psl.1.0.0,0,sd
Hg,pbe-n-kjpaw_psl.1.0.0,0,d
Tl,pbe-dn-kjpaw_psl.1.0.0,5,sp
Pb,pbe-dn-kjpaw_psl.1.0.0,5,sp
Bi,pbe-dn-kjpaw_psl.1.0.0,6,p
Po,pbe-dn-kjpaw_psl.1.0.0,6,p
At,pbe-dn-kjpaw_psl.1.0.0,6,p
Rn,pbe-dn-kjpaw_psl.1.0.0,6,p
Fr,pbe-spdn-kjpaw_psl.1.0.0,4,sp
Ra,pbe-spdn-kjpaw_psl.1.0.0,4,s
Ac,pbe-spfn-kjpaw_psl.1.0.0,4,
Th,pbe-spfn-kjpaw_psl.1.0.0,4,d
Pa,pbe-spfn-kjpaw_psl.1.0.0,4,d
U,pbe-spfn-kjpaw_psl.1.0.0,4,d
Np,pbe-spfn-kjpaw_psl.1.0.0,4,d
Pu,pbe-spfn-kjpaw_psl.1.0.0,4,d
Am,pbe-spfn-kjpaw_psl.1.0.0,4,d
Cm,,,
Bk,,,
Cf,,,
Es,,,
Fm,,,
Md,,,
No,,,
Lr,,,
Rf,,,
Db,,,
Sg,,,
Bh,,,
Hs,,,
Mt,,,
