Atom,PeudoPotential,nwan,orbitals
H,pbe-kjpaw_psl.1.0.0,0,s
He,pbe-kjpaw_psl.1.0.0,1,
Li,pbe-s-kjpaw_psl.1.0.0,1,s
Be,pbe-n-kjpaw_psl.1.0.0,0,sp
B,pbe-n-kjpaw_psl.1.0.0,0,sp
C,pbe-n-kjpaw_psl.1.0.0,0,sp
N,pbe-n-kjpaw_psl.1.0.0,1,p
O,pbe-n-kjpaw_psl.1.0.0,1,p
F,pbe-n-kjpaw_psl.1.0.0,1,p
Ne,pbe-n-kjpaw_psl.1.0.0,1,p
Na,pbe-spn-kjpaw_psl.1.0.0,4,s
Mg,pbe-n-kjpaw_psl.1.0.0,0,s
Al,pbe-n-kjpaw_psl.1.0.0,0,sp
Si,pbe-n-kjpaw_psl.1.0.0,0,sp
P,pbe-n-kjpaw_psl.1.0.0,1,p
S,pbe-n-kjpaw_psl.1.0.0,1,p
Cl,pbe-n-kjpaw_psl.1.0.0,1,p
Ar,pbe-n-kjpaw_psl.1.0.0,1,p
K,pbe-spn-kjpaw_psl.1.0.0,4,
Ca,pbe-spn-kjpaw_psl.1.0.0,4,s
Sc,pbe-spn-kjpaw_psl.1.0.0,4,sd
Ti,pbe-spn-kjpaw_psl.1.0.0,4,spd
V,pbe-spn-kjpaw_psl.1.0.0,4,spd
Cr,pbe-spn-kjpaw_psl.1.0.0,4,spd
Mn,pbe-spn-kjpaw_psl.1.0.0,4,spd
Fe,pbe-spn-kjpaw_psl.1.0.0,4,spd
Co,pbe-n-kjpaw_psl.1.0.0,0,spd
Ni,pbe-n-kjpaw_psl.1.0.0,0,spd
Cu,pbe-dn-kjpaw_psl.1.0.0,0,spd
Zn,pbe-dn-kjpaw_psl.1.0.0,0,spd
Ga,pbe-dn-kjpaw_psl.1.0.0,5,sp
Ge,pbe-dn-kjpaw_psl.1.0.0,5,sp
As,pbe-n-kjpaw_psl.1.0.0,1,p
Se,pbe-n-kjpaw_psl.1.0.0,1,p
Br,pbe-n-kjpaw_psl.1.0.0,1,p
Kr,pbe-n-kjpaw_psl.1.0.0,1,p
Rb,pbe-spn-kjpaw_psl.1.0.0,4,s
Sr,pbe-spn-kjpaw_psl.1.0.0,4,s
Y,pbe-spn-kjpaw_psl.1.0.0,4,spd
Zr,pbe-spn-kjpaw_psl.1.0.0,4,spd
Nb,pbe-spn-kjpaw_psl.1.0.0,4,spd
Mo,pbe-spn-kjpaw_psl.1.0.0,4,spd
Tc,pbe-spn-kjpaw_psl.1.0.0,4,spd
Ru,pbe-spn-kjpaw_psl.1.0.0,4,spd
Rh,pbe-spn-kjpaw_psl.1.0.0,4,spd
Pd,pbe-n-kjpaw_psl.1.0.0,0,sd
Ag,pbe-dn-kjpaw_psl.1.0.0,0,sd
Cd,pbe-dn-kjpaw_psl.1.0.0,5,sp
In,pbe-dn-kjpaw_psl.1.0.0,5,sp
Sn,pbe-dn-kjpaw_psl.1.0.0,5,sp
Sb,pbe-n-kjpaw_psl.1.0.0,0,sp
Te,pbe-dn-kjpaw_psl.1.0.0,6,p
I,pbe-n-kjpaw_psl.1.0.0,1,p
Xe,pbe-n-kjpaw_psl.1.0.0,6,p
Cs,pbe-spn-kjpaw_psl.1.0.0,1,sp
Ba,pbe-spn-kjpaw_psl.1.0.0,4,s
La,pbe-spfn-kjpaw_psl.1.0.0,4,
Ce,pbe-spdn-kjpaw_psl.1.0.0,4,spd
Pr,pbe-spdn-kjpaw_psl.1.0.0,4,spd
Nd,pbe-spdn-kjpaw_psl.1.0.0,4,spd
Pm,pbe-spdn-kjpaw_psl.1.0.0,4,spd
Sm,pbe-spdn-kjpaw_psl.1.0.0,4,spd
Eu,pbe-spdn-kjpaw_psl.1.0.0,4,spd
Gd,pbe-spdn-kjpaw_psl.1.0.0,4,spd
Tb,pbe-spdn-kjpaw_psl.1.0.0,4,spd
Dy,pbe-spdn-kjpaw_psl.1.0.0,4,spd
Ho,pbe-spdn-kjpaw_psl.1.0.0,4,spd
Er,pbe-spdn-kjpaw_psl.1.0.0,4,spd
Tm,pbe-spdn-kjpaw_psl.1.0.0,4,spd
Yb,pbe-spdn-kjpaw_psl.1.0.0,4,spd
Lu,pbe-spdn-kjpaw_psl.1.0.0,4,spd
Hf,pbe-spn-kjpaw_psl.1.0.0,4,spd
Ta,pbe-spn-kjpaw_psl.1.0.0,4,spd
W,pbe-spn-kjpaw_psl.1.0.0,4,spd
Re,pbe-spn-kjpaw_psl.1.0.0,4,spd
Os,pbe-n-kjpaw_psl.1.0.0,0,spd
Ir,pbe-n-kjpaw_psl.1.0.0,0,spd
Pt,pbe-n-kjpaw_psl.1.0.0,0,spd
Au,pbe-dn-kjpaw_psl.1.0.0,0,spd
Hg,pbe-dn-kjpaw_psl.1.0.0,0,spd
Tl,pbe-dn-kjpaw_psl.1.0.0,5,sp
Pb,pbe-dn-kjpaw_psl.1.0.0,5,sp
Bi,pbe-dn-kjpaw_psl.1.0.0,6,p
Po,pbe-dn-kjpaw_psl.1.0.0,6,p
At,pbe-dn-kjpaw_psl.1.0.0,6,p
Rn,pbe-dn-kjpaw_psl.1.0.0,6,p
Fr,,,
Ra,,,
Ac,,,
Th,,,
Pa,,,
U,,,
Np,,,
Pu,,,
Am,,,
Cm,,,
Bk,,,
Cf,,,
Es,,,
Fm,,,
Md,,,
No,,,
Lr,,,
Rf,,,
Db,,,
Sg,,,
Bh,,,
Hs,,,
Mt,,,
