Atom,PeudoPotential,nexc,orbitals
H,pz-rrkjus_psl.1.0.0,0,s
He,pz-rrkjus_psl.1.0.0,1,s
Li,pz-s-rrkjus_psl.1.0.0,1,s
Be,pz-n-rrkjus_psl.1.0.0,0,sp
B,pz-n-rrkjus_psl.1.0.0,0,sp
C,pz-n-rrkjus_psl.1.0.0,0,sp
N,pz-n-rrkjus_psl.1.0.0,1,p
O,pz-n-rrkjus_psl.1.0.0,1,p
F,pz-n-rrkjus_psl.1.0.0,1,p
Ne,pz-n-rrkjus_psl.1.0.0,1,p
Na,pz-spn-rrkjus_psl.1.0.0,4,s
Mg,pz-spn-rrkjus_psl.1.0.0,4,s
Al,pz-n-rrkjus_psl.1.0.0,0,sp
Si,pz-n-rrkjus_psl.1.0.0,0,sp
P,pz-n-rrkjus_psl.1.0.0,1,p
S,pz-n-rrkjus_psl.1.0.0,1,p
Cl,pz-n-rrkjus_psl.1.0.0,1,p
Ar,pz-n-rrkjus_psl.1.0.0,1,p
K,pz-spn-rrkjus_psl.1.0.0,4,
Ca,pz-spn-rrkjus_psl.1.0.0,4,s
Sc,pz-spn-rrkjus_psl.1.0.0,4,sd
Ti,pz-spn-rrkjus_psl.1.0.0,4,spd
V,pz-spn-rrkjus_psl.1.0.0,4,spd
Cr,pz-spn-rrkjus_psl.1.0.0,4,spd
Mn,pz-spn-rrkjus_psl.1.0.0,4,spd
Fe,pz-spn-rrkjus_psl.1.0.0,4,spd
Co,pz-n-rrkjus_psl.1.0.0,0,spd
Ni,pz-n-rrkjus_psl.1.0.0,0,spd
Cu,pz-dn-rrkjus_psl.1.0.0,0,spd
Zn,pz-dn-rrkjus_psl.1.0.0,0,spd
Ga,pz-dn-rrkjus_psl.1.0.0,5,sp
Ge,pz-dn-rrkjus_psl.1.0.0,5,sp
As,pz-n-rrkjus_psl.1.0.0,1,p
Se,pz-n-rrkjus_psl.1.0.0,1,p
Br,pz-n-rrkjus_psl.1.0.0,1,p
Kr,pz-n-rrkjus_psl.1.0.0,1,p
Rb,pz-spn-rrkjus_psl.1.0.0,4,s
Sr,pz-spn-rrkjus_psl.1.0.0,4,s
Y,pz-spn-rrkjus_psl.1.0.0,4,spd
Zr,pz-spn-rrkjus_psl.1.0.0,4,spd
Nb,pz-spn-rrkjus_psl.1.0.0,4,spd
Mo,pz-spn-rrkjus_psl.1.0.0,4,spd
Tc,pz-spn-rrkjus_psl.1.0.0,4,spd
Ru,pz-spn-rrkjus_psl.1.0.0,4,spd
Rh,pz-spn-rrkjus_psl.1.0.0,4,spd
Pd,pz-n-rrkjus_psl.1.0.0,0,sd
Ag,pz-n-rrkjus_psl.1.0.0,0,sd
Cd,pz-n-rrkjus_psl.1.0.0,0,sp
In,pz-dn-rrkjus_psl.1.0.0,5,sp
Sn,pz-dn-rrkjus_psl.1.0.0,5,sp
Sb,pz-n-rrkjus_psl.1.0.0,0,sp
Te,pz-dn-rrkjus_psl.1.0.0,6,p
I,pz-n-rrkjus_psl.1.0.0,1,p
Xe,pz-n-rrkjus_psl.1.0.0,6,p
Cs,pz-spn-rrkjus_psl.1.0.0,1,sp
Ba,pz-spn-rrkjus_psl.1.0.0,4,s
La,pz-spfn-rrkjus_psl.1.0.0,4,
Ce,pz-spdn-rrkjus_psl.1.0.0,4,spd
Pr,pz-spdn-rrkjus_psl.1.0.0,4,spd
Nd,pz-spdn-rrkjus_psl.1.0.0,4,spd
Pm,pz-spdn-rrkjus_psl.1.0.0,4,spd
Sm,pz-spdn-rrkjus_psl.1.0.0,4,spd
Eu,pz-spdn-rrkjus_psl.1.0.0,4,spd
Gd,pz-spdn-rrkjus_psl.1.0.0,4,spd
Tb,pz-spdn-rrkjus_psl.1.0.0,4,spd
Dy,pz-spdn-rrkjus_psl.1.0.0,4,spd
Ho,pz-spdn-rrkjus_psl.1.0.0,4,spd
Er,pz-spdn-rrkjus_psl.1.0.0,4,spd
Tm,pz-spdn-rrkjus_psl.1.0.0,4,spd
Yb,pz-spdn-rrkjus_psl.1.0.0,4,spd
Lu,pz-spdn-rrkjus_psl.1.0.0,4,spd
Hf,pz-spn-rrkjus_psl.1.0.0,4,spd
Ta,pz-spn-rrkjus_psl.1.0.0,4,spd
W,pz-spn-rrkjus_psl.1.0.0,4,spd
Re,pz-spn-rrkjus_psl.1.0.0,4,spd
Os,pz-n-rrkjus_psl.1.0.0,0,spd
Ir,pz-n-rrkjus_psl.1.0.0,0,spd
Pt,pz-n-rrkjus_psl.1.0.0,0,spd
Au,pz-dn-rrkjus_psl.1.0.0,0,spd
Hg,pz-dn-rrkjus_psl.1.0.0,0,spd
Tl,pz-dn-rrkjus_psl.1.0.0,5,sp
Pb,pz-dn-rrkjus_psl.1.0.0,5,sp
Bi,pz-dn-rrkjus_psl.1.0.0,6,p
Po,pz-dn-rrkjus_psl.1.0.0,6,p
At,pz-dn-rrkjus_psl.1.0.0,6,p
Rn,pz-dn-rrkjus_psl.1.0.0,6,p
Fr,pz-spdn-rrkjus_psl.1.0.0,4,sp
Ra,pz-spdn-rrkjus_psl.1.0.0,4,s
Ac,pz-spfn-rrkjus_psl.1.0.0,4,
Th,pz-spfn-rrkjus_psl.1.0.0,4,spd
Pa,pz-spfn-rrkjus_psl.1.0.0,4,spd
U,pz-spfn-rrkjus_psl.1.0.0,4,spd
Np,pz-spfn-rrkjus_psl.1.0.0,4,spd
Pu,pz-spfn-rrkjus_psl.1.0.0,4,spd
Am,pz-spfn-rrkjus_psl.1.0.0,4,spd
Cm,,,
Bk,,,
Cf,,,
Es,,,
Fm,,,
Md,,,
No,,,
Lr,,,
Rf,,,
Db,,,
Sg,,,
Bh,,,
Hs,,,
Mt,,,
